Title,IMDb Rating,Book Rating,Rating Difference,Combined Average Rating
"20,000 Leagues Under the Sea",7.2,7.68,0.47999999999999954,7.4399999999999995
The Scarlet Letter,5.3,6.78,1.4800000000000004,6.04
Dr. Jekyll and Mr. Hyde,7.6,7.6,0.0,7.6
Gulliver's Travels,6.9,7.22,0.3199999999999994,7.0600000000000005
A Farewell to Arms,5.8,7.6,1.7999999999999998,6.699999999999999
The Red Badge of Courage,7.1,6.46,-0.6399999999999997,6.779999999999999
The Odyssey,7.0,7.5,0.5,7.25
A Portrait of the Artist as a Young Man,6.2,7.22,1.0199999999999996,6.71
Paradise Lost,4.6,7.62,3.0200000000000005,6.109999999999999
Great Expectations,6.3,7.52,1.2199999999999998,6.91
Cyrano de Bergerac,7.5,8.12,0.6199999999999992,7.81
The Canterbury Tales,6.3,7.24,0.9400000000000004,6.77
The Portrait of a Lady,6.2,7.54,1.3399999999999999,6.87
Uncle Tom's Cabin,6.2,7.72,1.5199999999999996,6.96
Treasure Island,7.0,7.95,0.9500000000000002,7.475
The Adventures of Sherlock Holmes,8.7,8.62,-0.08000000000000007,8.66
Wuthering Heights,7.5,7.68,0.17999999999999972,7.59
Of Mice and Men,7.4,7.72,0.3199999999999994,7.5600000000000005
The Brothers Karamazov,6.7,8.64,1.9400000000000004,7.67
The Count of Monte Cristo,7.7,8.48,0.7800000000000002,8.09
Brave New World,5.2,7.96,2.76,6.58
Aesop's Fables,6.0,8.1,2.0999999999999996,7.05
Lord Jim,6.7,7.24,0.54,6.970000000000001
Benjamin Franklin,8.1,7.98,-0.11999999999999922,8.04
The Three Musketeers,7.1,7.800000000000001,0.7000000000000011,7.45
Madame Bovary,5.7,7.32,1.62,6.51
Hamlet,7.7,8.02,0.3199999999999994,7.859999999999999
Pygmalion,6.7,8.15,1.4500000000000002,7.425000000000001
Robinson Crusoe,6.0,7.34,1.3399999999999999,6.67
Romeo and Juliet,7.6,7.48,-0.11999999999999922,7.54
A Midsummer Night's Dream,6.4,7.88,1.4799999999999995,7.140000000000001
Beowulf,6.3,6.89,0.5899999999999999,6.595
Anna Karenina,6.6,8.08,1.4800000000000004,7.34
The Time Machine,7.5,7.926666666666667,0.42666666666666675,7.713333333333333
War and Peace,6.7,8.22,1.5200000000000005,7.460000000000001
The Talisman,7.3,8.26,0.96,7.779999999999999
Alice in Wonderland,6.3,8.02,1.7199999999999998,7.16
Dracula,7.4,7.98,0.5800000000000001,7.69
The Red and the Black,7.5,7.74,0.2400000000000002,7.62
A Tale of Two Cities,7.8,7.66,-0.13999999999999968,7.73
Faust,4.4,7.46,3.0599999999999996,5.93
Billy Budd,7.8,6.22,-1.58,7.01
Ivanhoe,6.7,7.68,0.9799999999999995,7.1899999999999995
The Sound and the Fury,4.9,7.72,2.8199999999999994,6.3100000000000005
Crime and Punishment,5.5,5.6000000000000005,0.10000000000000053,5.550000000000001
The Adventures of Huckleberry Finn,6.2,7.62,1.42,6.91
Frankenstein,7.8,7.405,-0.3949999999999996,7.6025
David Copperfield,7.6,7.96,0.3600000000000003,7.779999999999999
Twilight,5.3,7.18,1.88,6.24
Lord of the Flies,6.4,7.34,0.9399999999999995,6.87
Persuasion,7.7,8.26,0.5599999999999996,7.98
Sense and Sensibility,7.7,8.14,0.4400000000000004,7.92
I Capture the Castle,6.8,8.0,1.2000000000000002,7.4
The Firm,6.9,8.0,1.0999999999999996,7.45
The Client,6.7,7.98,1.2800000000000002,7.34
The Rainmaker,7.2,7.86,0.6600000000000001,7.53
Emma,6.6,7.98,1.3800000000000008,7.29
Mansfield Park,7.0,7.7,0.7000000000000002,7.35
A Little Princess,7.6,8.38,0.7800000000000011,7.99
Nick and Norah's Infinite Playlist,6.6,7.44,0.8400000000000007,7.02
The Secret Garden,7.3,8.373333333333333,1.0733333333333333,7.836666666666666
Harry Potter and the Chamber of Secrets,7.4,8.82,1.42,8.11
Harry Potter and the Goblet of Fire,7.7,9.1,1.3999999999999995,8.4
Harry Potter and the Prisoner of Azkaban,7.9,9.1,1.1999999999999993,8.5
Bram Stoker's Dracula,7.4,7.66,0.2599999999999998,7.53
The Other Boleyn Girl,6.7,8.1,1.3999999999999995,7.4
The Black Dahlia,5.6,7.5,1.9000000000000004,6.55
Little Children,7.5,7.24,-0.2599999999999998,7.37
Bridget Jones's Diary,6.8,7.52,0.7199999999999998,7.16
Trainspotting,8.1,8.09,-0.009999999999999787,8.094999999999999
Sherlock Holmes,7.6,8.52,0.9199999999999999,8.059999999999999
Charlie and the Chocolate Factory,6.7,7.72,1.0199999999999996,7.21
High Fidelity,7.4,7.88,0.47999999999999954,7.640000000000001
No Country for Old Men,8.2,8.26,0.0600000000000005,8.23
Atonement,7.8,7.78,-0.019999999999999574,7.79
The Lovely Bones,6.6,7.58,0.9800000000000004,7.09
Never Let Me Go,7.1,7.62,0.5200000000000005,7.359999999999999
Brideshead Revisited,6.6,8.0,1.4000000000000004,7.3
Stardust,7.6,8.16,0.5600000000000005,7.88
Jane Eyre,7.05,8.22,1.1700000000000008,7.635
Vanity Fair,6.2,7.56,1.3599999999999994,6.88
Little Women,7.25,8.12,0.8699999999999992,7.685
